state,EVs201x,D2016,R2016,D2012,R2012,EVs200x,D2008,R2008,D1992,R1992,ClintonDP16,SandersDP16
Alabama,9,0.3436,0.6208,0.3836,0.6055,9,0.3874,0.6032,0.4088,0.4765,0.778,0.192
Alaska,3,0.3655,0.5128,0.4081,0.548,3,0.3789,0.5942,0.3029,0.3946,0.202,0.796
Arizona,11,0.4513,0.4867,0.4459,0.5365,10,0.4512,0.5364,0.3652,0.3847,0.563,0.414
Arkansas,6,0.3365,0.6057,0.3688,0.6057,6,0.3886,0.5872,0.5321,0.3548,0.661,0.3
California,55,0.6173,0.3162,0.6024,0.3712,55,0.6101,0.3695,0.4601,0.3261,0.531,0.46
Colorado,9,0.4816,0.4325,0.5149,0.4613,9,0.5366,0.4471,0.4013,0.3587,0.403,0.59
Connecticut,7,0.5457,0.4093,0.5806,0.4073,7,0.6059,0.3822,0.4221,0.3578,0.518,0.464
Delaware,3,0.5335,0.4192,0.5861,0.3998,3,0.6194,0.3695,0.4352,0.3578,0.598,0.392
Washington DC,3,0.9048,0.0407,0.9091,0.0728,3,0.9246,0.0653,0.8464,0.091,0.78,0.207
Florida,29,0.4782,0.4902,0.5001,0.4913,27,0.5103,0.4822,0.39,0.4089,0.644,0.333
Georgia,16,0.4564,0.5077,0.4548,0.533,15,0.4699,0.522,0.4347,0.4288,0.713,0.282
Hawaii,4,0.6098,0.2944,0.7055,0.2784,4,0.7185,0.2658,0.4809,0.367,0.3,0.698
Idaho,4,0.2749,0.5926,0.3262,0.6453,4,0.3609,0.6152,0.2842,0.4203,0.212,0.78
Illinois,20,0.5583,0.3876,0.576,0.4073,21,0.6192,0.3678,0.4858,0.3434,0.506,0.486
Indiana,11,0.3791,0.5682,0.4393,0.5413,11,0.4995,0.4891,0.3679,0.4291,0.475,0.525
Iowa,6,0.4174,0.5115,0.5199,0.4618,7,0.5393,0.4439,0.4329,0.3727,0.498,0.496
Kansas,6,0.3605,0.5665,0.3799,0.5971,6,0.4165,0.5661,0.3374,0.3888,0.323,0.677
Kentucky,8,0.3268,0.6252,0.378,0.6049,8,0.4117,0.574,0.4455,0.4134,0.468,0.463
Louisiana,8,0.3845,0.5809,0.4058,0.5778,9,0.3993,0.5856,0.4558,0.4097,0.711,0.232
Maine,4,0.4783,0.4487,0.5627,0.4098,4,0.5771,0.4038,0.3877,0.3039,0.355,0.643
Maryland,10,0.6033,0.3391,0.6197,0.359,10,0.6192,0.3647,0.498,0.3562,0.625,0.338
Massachusetts,11,0.6001,0.3281,0.6065,0.3751,12,0.618,0.3599,0.4754,0.2903,0.497,0.483
Michigan,16,0.4727,0.475,0.5421,0.4471,17,0.5743,0.4096,0.4377,0.3638,0.483,0.497
Minnesota,10,0.4644,0.4492,0.5265,0.4496,10,0.5406,0.4382,0.4348,0.3185,0.384,0.616
Mississippi,6,0.4011,0.5794,0.4379,0.5529,6,0.43,0.5618,0.4077,0.4968,0.825,0.166
Missouri,10,0.3814,0.5677,0.4438,0.5376,11,0.4929,0.4943,0.4407,0.3392,0.496,0.494
Montana,3,0.3575,0.5617,0.417,0.5535,3,0.4725,0.4951,0.3763,0.3512,0.442,0.516
Nebraska,5,0.337,0.5875,0.3803,0.598,5,0.416,0.5653,0.294,0.4658,0.531,0.469
Nevada,6,0.4792,0.455,0.5236,0.4568,5,0.5515,0.4265,0.3736,0.3473,0.526,0.473
New Hampshire,4,0.4698,0.4661,0.5198,0.464,4,0.5413,0.4452,0.3891,0.3769,0.377,0.601
New Jersey,14,0.5499,0.41,0.5838,0.4059,15,0.5727,0.417,0.4295,0.4058,0.633,0.367
New Mexico,5,0.4826,0.4004,0.5299,0.4284,5,0.5691,0.4178,0.459,0.3734,0.515,0.485
New York,29,0.584,0.3615,0.6335,0.3517,31,0.6288,0.3603,0.4973,0.3388,0.575,0.416
North Carolina,15,0.4617,0.4983,0.4835,0.5039,15,0.497,0.4938,0.4265,0.4344,0.545,0.409
North Dakota,3,0.2723,0.6296,0.3869,0.5832,3,0.4462,0.5325,0.3218,0.4422,0.256,0.642
Ohio,18,0.4356,0.5169,0.5067,0.4769,20,0.515,0.4691,0.4018,0.3835,0.561,0.431
Oklahoma,7,0.2893,0.6532,0.3323,0.6677,7,0.3435,0.6565,0.3402,0.4265,0.415,0.519
Oregon,7,0.5007,0.3909,0.5424,0.4215,7,0.5675,0.404,0.4248,0.3253,0.421,0.562
Pennsylvania,20,0.4785,0.4858,0.5197,0.4659,21,0.5449,0.4417,0.4515,0.3613,0.556,0.435
Rhode Island,4,0.5441,0.389,0.627,0.3524,4,0.6286,0.3506,0.4704,0.2902,0.431,0.547
South Carolina,9,0.4067,0.5494,0.4409,0.5456,8,0.449,0.5387,0.3988,0.4802,0.734,0.26
South Dakota,3,0.3174,0.6153,0.3987,0.5789,3,0.4475,0.5316,0.3714,0.4066,0.51,0.49
Tennessee,11,0.3472,0.6072,0.3908,0.5948,11,0.4183,0.569,0.4708,0.4243,0.661,0.325
Texas,38,0.4324,0.5223,0.4138,0.5717,34,0.4368,0.5545,0.3708,0.4056,0.652,0.332
Utah,6,0.2746,0.4554,0.2475,0.7279,5,0.3441,0.6258,0.2465,0.4336,0.203,0.793
Vermont,3,0.5572,0.2976,0.6657,0.3097,3,0.6746,0.3045,0.4611,0.3042,0.136,0.857
Virginia,13,0.4975,0.4443,0.5116,0.4728,13,0.5263,0.4633,0.4059,0.4497,0.643,0.352
Washington,12,0.543,0.3807,0.5616,0.4129,11,0.5765,0.4048,0.4341,0.3197,0.524,0.476
West Virginia,5,0.2648,0.6863,0.3554,0.623,5,0.4259,0.5571,0.4841,0.3539,0.358,0.514
Wisconsin,10,0.4645,0.4722,0.5283,0.4589,10,0.5622,0.4231,0.4113,0.3678,0.431,0.566
Wyoming,3,0.2163,0.674,0.2782,0.6864,3,0.3254,0.6478,0.341,0.397,0.443,0.557
