"","x"
"1","row.id"
"2","respid"
"3","sample"
"4","int_date"
"5","fcall"
"6","attempt"
"7","refusal"
"8","lang"
"9","cregion"
"10","state"
"11","density"
"12","usr"
"13","scregion"
"14","sstate"
"15","sdensity"
"16","susr"
"17","llitext0"
"18","llitext"
"19","qintro2"
"20","phase"
"21","qs1"
"22","qa1"
"23","q1c1"
"24","qc1a"
"25","qb2"
"26","qb3"
"27","qb4"
"28","qb5"
"29","qa6"
"30","qa8"
"31","qa9a"
"32","qa9b"
"33","qa9c"
"34","qa9d"
"35","qa9e"
"36","qa9f"
"37","qa9g"
"38","q11a"
"39","q11b"
"40","q11c_b"
"41","q11e_b"
"42","q11h_b"
"43","q11i_b"
"44","q11j_b"
"45","q11at"
"46","q11bt"
"47","qb12"
"48","q25a"
"49","q25b"
"50","q25c"
"51","q25d"
"52","q25f"
"53","q25g"
"54","q25h"
"55","q25i"
"56","q25j"
"57","q25k"
"58","q25l"
"59","q25m"
"60","q25n"
"61","q25o"
"62","q25p"
"63","qb26"
"64","qc26"
"65","oftvote"
"66","q26f1"
"67","q26f1a"
"68","q26f1b"
"69","q26f2"
"70","q26f2a"
"71","q26f2b"
"72","Q26"
"73","Q26CAT"
"74","qb27"
"75","qb27a"
"76","int1"
"77","int2"
"78","int3m"
"79","qc28a"
"80","qc28b"
"81","qc28c"
"82","qc28d"
"83","qc28e"
"84","qc28f"
"85","qc28g"
"86","qc28h"
"87","qa29a"
"88","qa29b"
"89","q40"
"90","qb40a"
"91","qb40b"
"92","q41"
"93","q42"
"94","q43"
"95","qc48a"
"96","qc48b"
"97","qc48c"
"98","qc49a"
"99","qc49b"
"100","qc49c"
"101","q50q"
"102","q50r"
"103","q50s"
"104","q50t"
"105","q50u"
"106","q50v"
"107","q50w"
"108","q50y"
"109","q50z"
"110","q50aa"
"111","q50bb"
"112","q50dd"
"113","q50ee"
"114","q50ff"
"115","q50gg"
"116","q50hh"
"117","q51ii"
"118","q51jj"
"119","q51kk"
"120","q51ll"
"121","q51mm"
"122","q51oo"
"123","q51pp"
"124","q53"
"125","qb54"
"126","qb55"
"127","qc56"
"128","qc57"
"129","qc58a"
"130","qc58b"
"131","q100"
"132","q101"
"133","q102"
"134","q102a"
"135","q105a"
"136","q105b"
"137","q105d"
"138","q106"
"139","qb106"
"140","qb107"
"141","qb108"
"142","qb109"
"143","qb110"
"144","qc111"
"145","qc112"
"146","qc115"
"147","qc116"
"148","qc116a"
"149","qc117"
"150","q121"
"151","q121a"
"152","q121b"
"153","q122"
"154","q122a"
"155","q122b"
"156","q123"
"157","q123a"
"158","q123b"
"159","q124"
"160","q124a"
"161","q124b"
"162","q125"
"163","q125a"
"164","q125b"
"165","q126"
"166","q126a"
"167","q126b"
"168","qc127"
"169","qc128"
"170","qc135"
"171","qc135a"
"172","b139txt"
"173","qb139"
"174","b139atxt"
"175","qb139a"
"176","sex"
"177","age"
"178","educ"
"179","hisp"
"180","racem1"
"181","racem2"
"182","racem3"
"183","racem4"
"184","birth_hisp"
"185","usborn"
"186","marital"
"187","parent"
"188","citizen"
"189","relig"
"190","chr"
"191","born"
"192","attend"
"193","income"
"194","inchi"
"195","reg"
"196","party"
"197","partyln"
"198","partystrflag"
"199","partystr"
"200","partysum"
"201","ideo"
"202","qb140"
"203","qb140b"
"204","qb141"
"205","qb141b"
"206","qc142"
"207","q148"
"208","q149"
"209","teaparty2"
"210","q150"
"211","pvote12a"
"212","pvote12b"
"213","employ2"
"214","employ1"
"215","employ7"
"216","hh1"
"217","hh3"
"218","ql1"
"219","ql1a"
"220","qc1"
"221","lc2"
"222","lc3"
"223","qzip"
"224","money"
"225","isex"
"226","ihisp1"
"227","irace1m1"
"228","irace1m2"
"229","irace1m3"
"230","irace1m4"
"231","racecmb"
"232","racethn"
"233","intuser"
"234","q148correct"
"235","llweight"
"236","cellweight"
"237","ideoConsist"
"238","ideoConsistREC"
"239","bys"
"240","typogroups"
"241","weight"
"242","q25a.c1"
"243","q25a.c2"
"244","q25b.c1"
"245","q25b.c2"
"246","q25c.c1"
"247","q25c.c2"
"248","q25d.c1"
"249","q25d.c2"
"250","q25f.c1"
"251","q25f.c2"
"252","q25g.c1"
"253","q25g.c2"
"254","q25h.c1"
"255","q25h.c2"
"256","q25i.c1"
"257","q25i.c2"
"258","q25j.c1"
"259","q25j.c2"
"260","q25k.c1"
"261","q25k.c2"
"262","q25l.c1"
"263","q25l.c2"
"264","q25m.c1"
"265","q25m.c2"
"266","q25n.c1"
"267","q25n.c2"
"268","q40.c"
"269","q50q.c1"
"270","q50q.c2"
"271","q50r.c1"
"272","q50r.c2"
"273","q50u.c1"
"274","q50u.c2"
"275","q50aa.c1"
"276","q50aa.c2"
"277","q50bb.c1"
"278","q50bb.c2"
"279","q50dd.c1"
"280","q50dd.c2"
"281","q50ee.c1"
"282","q50ee.c2"
"283","q51kk.c1"
"284","q51kk.c2"
"285","q100.ca"
"286","q100.cd"
"287","q105a.ca"
"288","q105a.cd"
"289","q105b.ca"
"290","q105b.cd"
"291","q126.ca"
"292","q126.cd"
"293","predict"
"294","prob"
"295","X1"
"296","X2"
"297","X3"
